,Centre_Name,Commodity_Name,Season,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,AGARTALA,ATTA,Kharif,6.292406839,7.011038261,7.083430925,7.782279636,8.382464063,8.494850941,8.910994378,9.283252816,9.647945143,10.0269644,10.083333333333334,10.954545454545455,11.326923076923077,13.023809523809524,15.772727272727273,16.068181818181817,16.09090909090909,19.52173913043478,19.3,21.0,19.4062129,21.35071544,22.77480816
1,AGARTALA,ATTA,Rabi,6.292406839,7.011038261,7.083430925,7.782279636,8.382464063,8.494850941,8.910994378,9.283252816,9.647945143,10.0269644,10.0,11.272727272727273,11.295454545454545,13.25,15.428571428571429,16.681818181818183,16.857142857142858,19.35,19.444444444444443,18.428571428571427,19.4062129,21.35071544,22.77480816
2,AGARTALA,ATTA,Zaid,6.292406839,7.011038261,7.083430925,7.782279636,8.382464063,8.494850941,8.910994378,9.283252816,9.647945143,10.0269644,10.47749676,10.4375,11.409090909090908,11.277777777777779,15.7,16.666666666666668,16.0,18.75,20.0,21.0,19.4062129,21.35071544,22.77480816
3,AGARTALA,Brinjal,Kharif,6.682930238,7.446161825,8.29378684,9.112048824,9.814787617,11.31126843,13.03592075,13.58049874,14.11400826,14.74818,15.33234224,15.93301698,16.64022661,17.66478408,18.86658559,20.15015015,19.71698113207547,16.86824067,16.67492355,17.98371425,22.86887761,19.18238994,20.46185535
4,AGARTALA,Brinjal,Rabi,6.682930238,7.446161825,8.29378684,9.112048824,9.814787617,11.31126843,13.03592075,13.58049874,14.11400826,14.74818,15.33234224,15.93301698,16.64022661,17.66478408,18.86658559,18.0,18.81188118811881,20.0,16.67492355,17.98371425,22.86887761,19.18238994,20.46185535
5,AGARTALA,Brinjal,Zaid,6.682930238,7.446161825,8.29378684,9.112048824,9.814787617,11.31126843,13.03592075,13.58049874,14.11400826,14.74818,15.33234224,15.93301698,16.64022661,17.66478408,18.86658559,20.15015015,18.473684210526315,16.86824067,16.67492355,17.98371425,22.86887761,19.18238994,20.46185535
6,AGARTALA,Cabbage,Kharif,6.225856188,6.936887117,7.726539449,8.488837013,9.143512509,10.53764263,11.05385779,11.5264419,11.97925785,12.51751082,13.01331824,13.52314064,14.12338448,14.99297716,16.01300562,17.47191011,20.0,15.08014113,13.57776062,16.05042933,19.72087264,15.53894737,16.57539516
7,AGARTALA,Cabbage,Rabi,6.225856188,6.936887117,7.726539449,8.488837013,9.143512509,10.53764263,11.05385779,11.5264419,11.97925785,12.51751082,13.01331824,13.52314064,14.12338448,14.99297716,16.01300562,17.47191011,20.0,20.0,13.57776062,16.05042933,19.72087264,15.53894737,16.57539516
8,AGARTALA,Masoor Dal,Kharif,13.21849853,14.72813206,16.40469154,18.02317242,19.41315427,22.37311775,23.46912593,24.449553,25.41005301,26.55177953,27.6034718,28.68489224,29.958112,31.80266667,34.18914334,48.41893305,67.5,56.73076923076923,49.43478260869565,65.7,70.10752688172043,75.0,73.95286439
9,AGARTALA,Masoor Dal,Rabi,13.21849853,14.72813206,16.40469154,18.02317242,19.41315427,22.37311775,23.46912593,24.449553,25.41005301,26.55177953,27.6034718,28.68489224,29.958112,31.80266667,34.18914334,48.41893305,68.0,60.01086956521739,51.09090909090909,61.378787878787875,72.9390243902439,75.5,75.0
10,AGARTALA,Masoor Dal,Zaid,13.21849853,14.72813206,16.40469154,18.02317242,19.41315427,22.37311775,23.46912593,24.449553,25.41005301,26.55177953,27.6034718,28.68489224,29.958112,31.80266667,34.18914334,48.41893305,57.61961367,59.806451612903224,51.41025641025641,58.68181818181818,68.69444444444444,75.0,75.0
11,AGARTALA,Moong Dal,Kharif,19.21207282,21.40620927,23.84295976,26.19529747,28.21552937,32.51760905,34.1105728,35.53554829,36.9315613,38.59097315,40.11952713,42.58973156,44.4801374,47.21882952,42.78591682,42.0,48.20754716981132,70.40350877192982,63.04347826086956,61.357142857142854,69.55357142857143,70.93406593406593,99.25530504
12,AGARTALA,Moong Dal,Rabi,19.21207282,21.40620927,23.84295976,26.19529747,28.21552937,32.51760905,34.1105728,35.53554829,36.9315613,38.59097315,40.11952713,42.58973156,44.4801374,47.21882952,42.78591682,42.0,53.366336633663366,67.75,66.02597402597402,64.34848484848484,70.52439024390245,70.72222222222223,73.35714285714286
13,AGARTALA,Moong Dal,Zaid,19.21207282,21.40620927,23.84295976,26.19529747,28.21552937,32.51760905,34.1105728,35.53554829,36.9315613,38.59097315,40.11952713,42.58973156,44.4801374,47.21882952,42.78591682,41.37570462,41.0,70.54838709677419,65.82051282051282,61.0,72.82352941176471,74.48275862068965,73.92857142857143
14,AGARTALA,Mustard Oil,Kharif,32.475,35.38157894736842,37.65,38.95652173913044,37.04545454545455,54.421052631578945,47.80952380952381,39.57142857142857,39.86363636363637,45.77272727272727,57.63636363636363,54.45454545454545,52.42307692307692,50.19047619047619,59.54545454545455,81.95454545454545,65.04545454545455,67.69565217391305,87.2,108.0,103.9510638,114.3669604,121.9952367
15,AGARTALA,Mustard Oil,Rabi,33.25,35.791666666666664,40.13235294117647,39.625,37.75,50.42857142857143,55.81818181818182,44.31818181818182,40.85,42.45238095238095,55.36363636363637,58.09090909090909,53.0,52.63636363636363,58.142857142857146,74.0,73.14285714285714,69.1,80.88888888888889,100.0,103.9510638,114.3669604,121.9952367
